0	1	2	3	label	predict
67.0000	25.0000	58.0000	18.0000	2	3
72.0000	32.0000	60.0000	18.0000	2	3
64.0000	28.0000	56.0000	22.0000	2	3
62.0000	34.0000	54.0000	23.0000	2	3
79.0000	38.0000	64.0000	20.0000	2	3
69.0000	32.0000	57.0000	23.0000	2	3
68.0000	30.0000	55.0000	21.0000	2	3
72.0000	36.0000	61.0000	25.0000	2	3
49.0000	25.0000	45.0000	17.0000	2	3
60.0000	22.0000	50.0000	15.0000	2	3
58.0000	28.0000	51.0000	24.0000	2	3
67.0000	30.0000	52.0000	23.0000	2	3
61.0000	26.0000	56.0000	14.0000	2	3
61.0000	30.0000	49.0000	18.0000	2	3
